text,true_label,chatgpt_prediction
"Mae sgôr dan 0.5 yn dangos lefel isel o ddatblygiad. O'r 31 gwlad yn y categori yma, mae 29 yn Affrica; yr eithriadau yw Haiti a Yemen. Mae sgôr o 0.8 neu fwy yn dangos gwlad sydd a lefel uchel o ddatblygiad. Norwy oedd ar y brig yn 2006.",cym,cym
"3-чю сентябрда, 9 сагъатда Ингилиз, 12:20 Франция, дагъыда Австралия бла Джангы Зеландия Германиягъа къазауат баямлайдыла. Талай кюнню ичинде алагъа Канада, Ньюфаундленд, Къыбыла Африка Бирлик бла Непал къошулады.",krc,lez
"Ribiniškūs, leluokojā nūvoda solā, dzeivoj 938 cylvāku. Vysuvaira nūvoda dzeivuotuoji dora zemsaimesteibu. Taipoš nūvodam irā īdeveiga transporta infrastruktura - dīnavydūs irā Daugpiļs - Rēznis (Varšovys - Pīterpiļs) dzeļžaceļš i škārsvaļsteigais lelceļš E262 (Latvejā A13), taipoš vaļsteibys zeimeibys celi P58 i P62.",ltg,lav
"Kulit mamalia ilaharna mah ogé buluan (rambut). Rambut ieu utamana mah pikeun ngabantu insulasi nu disadiakeun ku kulit, tapi bisa ogé dijadikeun ciri séksual sekundér atawa nyaru.",sun,sun
"""تاج المساجد"" کي ڀوپال جي سلطان شاھ جھان (ڀوپال جي بيگم) 1868ع - 1901ع ۾ تعمير ڪرايو. ۽ مينارن جي تڪميل مولانا عمران خان ندوي رحمة الله عليه جن ڪئي۔ ۽ بعد ۾ ان ۾ مدرسي جي بنياد رکي۔",snd,snd
شاديءَ کان پوءِ اليزي ڳائڻ ڇڏي ڏنو ۽ فيبروري 2004ع کان پوءِ ميڊيا تي اچڻ کان به پاسو ڪرڻ لڳي. تنهن کان پوءِ هُوءَ هڪ ڀيرو 18 هين فيبروري 2006ع تي فرانسيسي ٽي وي چينل MTV France تي ظاهر ٿي. اليزي ڊسمبر 3، 2007ع تي پنهنجي نئين آلبم Psychédélices سان موسيقيءَ جي دنيا ۾ واپس وري آئي.,snd,snd
"Η Νίκη Αγγελίδου (Σμαράγδα Καρύδη) είναι μια χωρισμένη μητέρα δύο παιδιών, η οποία ψάχνει εδώ και τρία χρόνια να βρει δουλειά, αλλά δεν τα καταφέρνει γιατί κανείς δεν την προσλαμβάνει. Παρακολουθώντας τηλεόραση, ανακαλύπτει ένα άθλημα που παίζεται στον πάγο, το κέρλινγκ (curling), το οποίο είναι τελείως άγνωστο στην Ελλάδα. Βλέποντας ότι κάποιος μπορεί να ξεκινήσει ως αθλητής κέρλινγκ ανεξαρτήτως ηλικίας, αποφασίζει να δημιουργήσει την πρώτη Εθνική Ομάδα Κέρλινγκ για την Ελλάδα.",ell,ell
"Shannon Leigh Boxx (nacida el 29 de junio de 1977 en Fontana, California) es una futbolista estadounidense. Juega como mediocampista y ha formado parte de su selección nacional, ganando la medalla de oro en los Juegos Olímpicos de 2004.",spa,spa
"Ukuze imazi ibesempilweni entle, kufuneka ifumane ukutya okulungileyo, amanzi nendawo esithileyo emoyeni obandayo, imvula kwakunye nobushushu. Xa imazi yenkomo igodola, ukutya ekufumanayo, kuguqulwa ngumzimba kube yinto yokudala ubushshu endaweni yokwenza ibisi, ntoleyo ethi yenze ukuba ibisi oluveliswa yinkomo lube luncinci. Xa kushushu kakhulu, inkomo iye ingafuni ukutya ivelise ubisi oluncinci. Kwiindawo apho indalo ingadalanga amadlelo achumileyo, kwakunye nemithi yokwenza umthunzi, unyanzeleka umfama ukuba makenze ukutya kubekho, aphinde akhe iintlanti ezinamaphahla asithileyo.",xho,xhosa
Ny mpandrindra milina azo afohezina ho SE na OS (amin'ny teny frantsay sy amin'ny teny anglisy) na koa rafitra fikirakirana dia karazana rindrankajy iray mandrindra ny solosaina ary ahafahan'ny rindrankajy madinika handeha. Izy io dia karazana tetezana ahafahan'ny rindrankajy (software) mampiasa ny fitaovana (hardware).,mlg,mlg
